Profit: -0.3928626268622253, Difference: 0.04831309332449507
Profit: -0.413950041029608, Difference: 0.051541832794384845
Profit: -0.25495614093597396, Difference: -0.05621765498906939
Profit: -0.22888991992347485, Difference: -0.0451186601230944
Profit: -0.32047764731053974, Difference: -0.004411667467394409
Profit: -0.32867405300960684, Difference: -0.040964741560173934
Profit: -0.5993986600449972, Difference: -0.09169450908640897
Profit: -0.5654975135063296, Difference: -0.219044256902734
Profit: -0.39309048141778646, Difference: -0.061000835094048966
Profit: -0.4560552851027495, Difference: -0.0338571153657341
Profit: -0.5861925151264273, Difference: 0.08622268744518635
Profit: -0.6175993271431395, Difference: 0.05195173314332635
Profit: -0.36977988709857357, Difference: 0.11316442357922085
Profit: -0.429301713700184, Difference: -0.19086440373718006
Profit: -0.3884577315456994, Difference: -0.3980265199355415
Profit: -0.9546339819181782, Difference: 0.7489047994627924
Profit: -0.5373839597874337, Difference: 0.17513989211914804
Profit: -0.5203698346868322, Difference: -0.20694404784660492
Profit: -0.3661967397552104, Difference: 0.12829661248437674
Profit: -0.38187918384129205, Difference: -0.03083233304325006
Profit: -0.47759823567014337, Difference: 0.10280081693738907
Profit: -0.5663339217027925, Difference: 0.11465786613324269
Profit: -0.694560523582183, Difference: 0.45223439365506124
Profit: -0.39441189316524117, Difference: 0.02001633749712539
Profit: -0.5616273103719323, Difference: 0.26171821187594446
Profit: -0.5016752136443898, Difference: 0.02928139059109469
Profit: -0.5637806967590251, Difference: 0.08156522286110146
Profit: -0.4909050618774131, Difference: -0.08886561539634386
Profit: -0.6564213917299071, Difference: 0.06889892693104116
Profit: -0.679201121778604, Difference: 0.030757373632340546
Profit: -0.47276987561312467, Difference: 0.045099727659916766
Profit: -0.4439196982070399, Difference: 0.19745630056087293
Profit: -0.2614879410256066, Difference: -0.03504857483591195
Profit: -0.33508636541516523, Difference: -0.1064098840449077
Profit: -0.2647073776631146, Difference: -0.0636224993110659
Profit: -0.7750233430161018, Difference: 0.062065597303714526
Profit: -0.9573748793116579, Difference: 0.32534509072314677
Profit: -0.5260161514779469, Difference: 0.08932925923495816
Profit: -0.4278119819195325, Difference: 0.06157875393225254
Profit: -0.5180176693574339, Difference: -0.07125643605064624
Profit: -0.3322866088822565, Difference: -0.034723254411019866
Profit: -0.5221994198430195, Difference: -0.041454502930577064
Profit: -0.6050754355883612, Difference: 0.20347993369301776
Profit: -0.3925204839527794, Difference: -0.0006596708385018246
Profit: -0.4477142743597824, Difference: 0.06940302833774581
Profit: -0.7340910899014403, Difference: -0.26413698748058323
Profit: -0.5895165233598618, Difference: 0.07010077034588846
Profit: -0.4512257128185695, Difference: -0.2284779996029016
Profit: -0.4230710141297038, Difference: -0.09450352081213964
Profit: -0.9731216113107877, Difference: 0.15084098269342405
Profit: -0.701006985982545, Difference: 0.2533098393999751
Profit: -0.34769372382417885, Difference: -0.1433259067089523
Profit: -0.3941860642601256, Difference: 0.010759800251292972
Profit: -0.4536813394596493, Difference: 0.02132540886546508
Profit: -0.29492314766466166, Difference: -0.036161358608168825
Profit: -0.5074660894634206, Difference: 0.11568517216583984
Profit: -0.4730356225198875, Difference: 0.20269685936293058
Profit: -0.35406224265699393, Difference: 0.061483453857604786
Profit: -0.47149527174971695, Difference: -0.10091975554841781
Profit: -0.7092860861926766, Difference: 0.06126427393631673
Profit: -0.4023384032981454, Difference: 0.1463120711901098
Profit: -0.3127722821578942, Difference: 0.07745165326774384
Profit: -0.4294463011859193, Difference: -0.012307664884502856
Profit: -0.5356458684841385, Difference: -0.02231426443165674
Profit: -0.6022654044497955, Difference: -0.22755955091116675
Profit: -0.4229898945744708, Difference: -0.05169722802202159
Profit: -0.45415041219150964, Difference: 0.015384746017275575
Profit: -0.31407072826522153, Difference: 0.005089660579187694
Profit: -0.37148741568968546, Difference: 0.08322782356638925
Profit: -0.39263969128204224, Difference: 0.02028929464096052
Profit: -0.6855494665109205, Difference: -0.3024416372465879
Profit: -0.617593160552758, Difference: 0.1318368845297897
Profit: -0.61033450602865, Difference: 0.03970919852636712
Profit: -0.3286516023633368, Difference: -0.2835710338963793
Profit: -0.39936633446014014, Difference: -0.014225877948618404
Profit: -0.33281459244425093, Difference: -0.02408794425583949
Profit: -0.6595931496014913, Difference: 0.4114569741985008
Profit: -0.3289118797126065, Difference: -0.2617066130900838
Profit: -0.45101214512698107, Difference: 0.07214196461535494
Profit: -0.6819933598079047, Difference: -0.3097349863588903
Profit: -0.4225663603443195, Difference: 0.30107475101134185
Profit: -0.4033699899772074, Difference: 0.0668988294850692
Profit: -0.4234908340138901, Difference: 0.13489663873485824
Profit: -0.5836700163394397, Difference: 0.1319939607698899
Profit: -0.8273739777786915, Difference: 0.23442884178545853
Profit: -0.5978528984064013, Difference: 0.13439651229863614
Profit: -0.9120579327814653, Difference: 0.23616141971345428
Profit: -0.45412842292857647, Difference: 0.0872714234874934
Profit: -0.7974865301916054, Difference: 0.07996092276343347
Profit: -0.35872420482036205, Difference: -0.07909997029159399
Profit: -0.603093864402382, Difference: 0.18626127820039073
Profit: -0.3074589524657938, Difference: -0.04047290260585612
Profit: -0.5202436192391957, Difference: 0.11006005081658543
Profit: -0.5780495984790122, Difference: 0.01624654954346738
Profit: -0.30932787040188714, Difference: 0.05201121921653851
Profit: -0.428831708142269, Difference: 0.15039055872873064
Profit: -0.5499861632836485, Difference: -0.2507973606280274
Profit: -0.4539150190218919, Difference: 0.11536194498296481
Profit: -0.37270050218072015, Difference: 0.0772508508990768
